objective,matrix_type,density,N,method,time,obj,ratio
max,known,,10,rand,7.711759999999999e-5,60208.5,0.810438659957361
max,known,,20,rand,0.0007621435999999999,276170.7,0.7698568142027179
max,known,,30,rand,0.004187445500000001,418887.8,0.7518369258498551
max,known,,40,rand,0.0076036051999999995,921092.3,0.7502967716828245
max,known,,50,rand,0.012570715000000001,1.5434516e6,0.7416051851087018
max,known,,60,rand,0.0118681326,2.1171575e6,0.7513530152767368
max,known,,70,rand,0.0205871075,3.7636559e6,0.7528651647728619
max,known,,80,rand,0.018271649800000005,2.9666272e6,0.7474375213797095
max,known,,90,rand,0.0222910446,6.9859174e6,0.7497611838966806
max,known,,100,rand,0.029288562700000003,5.4674729e6,0.7418893748499867
